"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs697852-<b>?</b>,"7 x 10-8",,NR,1.0416667,'-,NR,ITPKB,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,1:226727033
rs3787184-<b>?</b>,"8 x 10-8",,NR,1.0386373,'-,NR,NFATC2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,20:51541298
rs2013724-<b>?</b>,"1 x 10-8",,NR,'-,'-,NR,"AL133163.2, AL133163.1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,14:35387142
rs1057258-<b>?</b>,"3 x 10-7",,NR,1.0309278,'-,NR,INPP5D,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,2:233206983
rs13088318-<b>?</b>,"9 x 10-6",,NR,1.0204082,'-,NR,"FAM172BP, TRMT10C","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:101523907
rs13153019-<b>C</b>,"3 x 10-6",,NR,1.029,'-,NR,"LMAN2, RGS14","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:177355217
rs16922576-<b>C</b>,"1 x 10-7",,NR,1.032,'-,NR,JAK2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,9:5064193
rs7632381-<b>C</b>,"3 x 10-10",,0.4475,1.035,'-,[1.024-1.046],ZBTB38,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:141387221
rs6446685-<b>A</b>,"1 x 10-9",,0.3759,1.035,'-,[1.024-1.046],STX18-AS1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,4:4764538
rs10883723-<b>C</b>,"1 x 10-9",,0.3586,1.035,'-,[1.024-1.046],"ACTR1A, MFSD13A","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,10:102466075
rs10995245-<b>A</b>,"2 x 10-9",,0.3471,1.035,'-,[1.024-1.046],"AC024598.1, AC067752.1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,10:62631615
rs7953139-<b>C</b>,"8 x 10-11",,0.4797,1.036,'-,[1.025-1.046],LRRC43,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,12:122177994
rs10468514-<b>G</b>,"6 x 10-11",,0.3984,1.037,'-,[1.026-1.047],"AC003070.2, ARHGAP27","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,17:45378874
rs2393717-<b>G</b>,"8 x 10-12",,0.4697,1.038,'-,[1.027-1.048],SPPL3,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,12:120782572
rs3813308-<b>G</b>,"1 x 10-11",,0.4352,1.038,'-,[1.028-1.049],TNFAIP8,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:119355086
rs2228145-<b>C</b>,"1 x 10-12",,0.4108,1.04,'-,[1.03-1.051],IL6R,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,1:154454494
rs12165508-<b>T</b>,"2 x 10-9",,0.2045,1.041,'-,[1.028-1.054],"TEF, AL008582.1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,22:41423956
rs2070901-<b>T</b>,"6 x 10-12",,0.2699,1.043,'-,[1.031-1.056],FCER1G,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,1:161215268
rs2190097-<b>C</b>,"3 x 10-11",,0.2417,1.043,'-,[1.031-1.056],GSAP,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,7:77409628
rs3933376-<b>A</b>,"9 x 10-10",,0.1868,1.044,'-,[1.031-1.058],PTPRK,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,6:127970926
rs10912564-<b>T</b>,"1 x 10-13",,0.3047,1.045,'-,[1.033-1.057],TNFSF4,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,1:173201479
rs13277355-<b>A</b>,"6 x 10-13",,0.2728,1.045,'-,[1.033-1.057],"MYC, PVT1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,8:127765473
rs1950897-<b>C</b>,"3 x 10-13",,0.2869,1.045,'-,[1.033-1.057],RAD51B,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,14:68293424
rs6473228-<b>G</b>,"2 x 10-15",,0.3652,1.046,'-,[1.035-1.057],AC034114.2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,8:80387531
rs9549238-<b>A</b>,"1 x 10-11",,0.2128,1.046,'-,[1.033-1.059],"FOXO1, AL133318.1","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,13:40605184
rs12952581-<b>A</b>,"5 x 10-16",,0.3627,1.047,'-,[1.036-1.059],AC091180.6,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,17:49370984
rs9290877-<b>C</b>,"2 x 10-15",,0.3016,1.048,'-,[1.036-1.059],LPP,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:188724692
rs7650683-<b>C</b>,"2 x 10-15",,0.2994,1.048,'-,[1.036-1.06],LPP,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,3:188727995
rs12887759-<b>A</b>,"1 x 10-12",,0.2176,1.048,'-,[1.035-1.061],AL132801.2,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,14:102772514
rs8126516-<b>A</b>,"1 x 10-9",,0.1445,1.048,'-,[1.033-1.063],RUNX1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,21:35080321
rs10244416-<b>C</b>,"2 x 10-20",,0.4879,1.052,'-,[1.041-1.063],"EEF1A1P27, ITGB8","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,7:20536128
rs4722758-<b>G</b>,"2 x 10-16",,0.1992,1.057,'-,[1.043-1.07],JAZF1,"Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,7:28116987
rs1295685-<b>A</b>,"3 x 10-19",,0.1796,1.065,'-,[1.051-1.079],"IL13, TH2LCRR","Allergic disease (asthma, hay fever or eczema)","Eczema, allergic rhinitis, asthma",GCST009716,5:132660753
rs993226-<b>G</b>,"5 x 10-9",,0.034,1.58,'-,[1.35-1.84],"AC093027.1, AC087888.1","Atopic march","childhood onset asthma, atopic eczema, atopic march",GCST003180,12:84492794
rs9357733-<b>A</b>,"2 x 10-8",,0.808,1.27,'-,[1.17-1.38],EFHC1,"Atopic march","childhood onset asthma, atopic eczema, atopic march",GCST003180,6:52427338
rs12081541-<b>C</b>,"9 x 10-11",,0.091,1.61,'-,[1.41-1.89],"LCE5A, FLG-AS1","Atopic march","childhood onset asthma, atopic eczema, atopic march",GCST003180,1:152468890
rs17690965-<b>C</b>,"5 x 10-8",,0.264,1.24,'-,[1.15-1.33],"AC004039.1, KIF3A","Atopic march","childhood onset asthma, atopic eczema, atopic march",GCST003180,5:132694975
rs479844-<b>G</b>,"4 x 10-10",,0.560,1.25,'-,[1.24-1.43],"AP5B1, OVOL1","Atopic march","childhood onset asthma, atopic eczema, atopic march",GCST003180,11:65784486
rs2155219-<b>T</b>,"2 x 10-15",,0.487,1.33,'-,[1.24-1.43],"EMSY, AP001189.2","Atopic march","childhood onset asthma, atopic eczema, atopic march",GCST003180,11:76588150
rs10445308-<b>C</b>,"5 x 10-8",,0.529,1.22,'-,[1.14-1.30],IKZF3,"Atopic march","childhood onset asthma, atopic eczema, atopic march",GCST003180,17:39781794
rs7512552-<b>C</b>,"5 x 10-9","(EA, fixed effects)",0.51,1.0416667,'-,'-,"CIART, MRPS21","Atopic dermatitis","atopic eczema",GCST003184,1:150293284
rs10199605-<b>G</b>,"4 x 10-8","(EA, fixed effects)",0.7,1.0416667,'-,'-,LINC00299,"Atopic dermatitis","atopic eczema",GCST003184,2:8354967
rs4643526-<b>A</b>,"6 x 10-8","(EA, fixed effects)",0.19,1.05,'-,[1.03-1.07],PUS10,"Atopic dermatitis","atopic eczema",GCST003184,2:60957516
rs112111458-<b>A</b>,"9 x 10-9","(EA, fixed effects)",0.87,1.0638298,'-,'-,"LINC01143, CD207","Atopic dermatitis","atopic eczema",GCST003184,2:70872975
rs10214237-<b>T</b>,"3 x 10-14","(EA, fixed effects)",0.73,1.0638298,'-,'-,"IL7R, AC112204.3","Atopic dermatitis","atopic eczema",GCST003184,5:35883632
rs6473227-<b>C</b>,"2 x 10-16","(EA, fixed effects)",0.39,1.0638298,'-,'-,AC034114.2,"Atopic dermatitis","atopic eczema",GCST003184,8:80373657
rs6602364-<b>G</b>,"1 x 10-10","(EA, fixed effects)",0.45,1.05,'-,[1.03-1.06],"IL15RA, IL2RA","Atopic dermatitis","atopic eczema",GCST003184,10:5996890
rs7127307-<b>T</b>,"2 x 10-18","(EA, fixed effects)",0.53,1.0638298,'-,'-,"LINC02098, ETS1","Atopic dermatitis","atopic eczema",GCST003184,11:128317488
rs2143950-<b>T</b>,"2 x 10-15","(EA, fixed effects)",0.17,1.08,'-,[1.06-1.10],"PPP2R3C, FAM177A1","Atopic dermatitis","atopic eczema",GCST003184,14:35103151
rs17881320-<b>T</b>,"1 x 10-7","(EA, fixed effects)",0.08,1.08,'-,[1.05-1.11],STAT3,"Atopic dermatitis","atopic eczema",GCST003184,17:42333221
rs7512552-<b>T</b>,"1 x 10-7","(random effects)",0.49,'-,'-,NR,"CIART, MRPS21","Atopic dermatitis","atopic eczema",GCST003184,1:150293284
rs112111458-<b>G</b>,"2 x 10-7","(random effects)",0.13,'-,'-,NR,"LINC01143, CD207","Atopic dermatitis","atopic eczema",GCST003184,2:70872975
rs10214237-<b>C</b>,"2 x 10-10","(random effects)",0.27,'-,'-,NR,"IL7R, AC112204.3","Atopic dermatitis","atopic eczema",GCST003184,5:35883632
rs6473227-<b>A</b>,"5 x 10-18","(random effects)",0.61,'-,'-,NR,AC034114.2,"Atopic dermatitis","atopic eczema",GCST003184,8:80373657
rs6602364-<b>G</b>,"2 x 10-6","(random effects)",0.45,'-,'-,NR,"IL15RA, IL2RA","Atopic dermatitis","atopic eczema",GCST003184,10:5996890
rs7127307-<b>C</b>,"1 x 10-20","(random effects)",0.47,'-,'-,NR,"LINC02098, ETS1","Atopic dermatitis","atopic eczema",GCST003184,11:128317488
rs2143950-<b>T</b>,"9 x 10-10","(random effects)",0.17,'-,'-,NR,"PPP2R3C, FAM177A1","Atopic dermatitis","atopic eczema",GCST003184,14:35103151
rs17881320-<b>T</b>,"3 x 10-6","(random effects)",0.08,'-,'-,NR,STAT3,"Atopic dermatitis","atopic eczema",GCST003184,17:42333221
rs3917265-<b>C</b>,"9 x 10-7","(conditional on rs6419573)",0.53,1.06,'-,[1.03-1.08],IL1R1,"Atopic dermatitis","atopic eczema",GCST003184,2:102162001
rs4705962-<b>T</b>,"7 x 10-12","(conditional on rs6419573)",0.28,1.1,'-,[1.07-1.13],"KIF3A, AC004039.1","Atopic dermatitis","atopic eczema",GCST003184,5:132693166
rs2041733-<b>T</b>,"3 x 10-11","(EA, fixed effects)",NR,1.08,'-,[1.06-1.11],CLEC16A,"Atopic dermatitis","atopic eczema",GCST003184,16:11135732
rs17389644-<b>A</b>,"4 x 10-6","(EA, fixed effects)",NR,1.07,'-,[1.04-1.10],"IL21, IL2","Atopic dermatitis","atopic eczema",GCST003184,4:122576542
rs7927894-<b>T</b>,"3 x 10-9","(EA, fixed effects)",NR,1.08,'-,[1.05-1.10],"EMSY, AP001189.2","Atopic dermatitis","atopic eczema",GCST003184,11:76590272
rs13015714-<b>G</b>,"2 x 10-12","(EA, fixed effects)",NR,1.1,'-,[1.07-1.14],IL18R1,"Atopic dermatitis","atopic eczema",GCST003184,2:102355405
rs479844-<b>?</b>,"2 x 10-18","(EA, fixed effects)",NR,1.1111112,'-,[1.09-1.14],"AP5B1, OVOL1","Atopic dermatitis","atopic eczema",GCST003184,11:65784486
rs2164983-<b>A</b>,"2 x 10-11","(EA, fixed effects)",NR,1.12,'-,[1.08-1.15],"AC243312.1, LINC01862","Atopic dermatitis","atopic eczema",GCST003184,19:8679120
rs2897442-<b>C</b>,"1 x 10-10","(EA, fixed effects)",NR,1.09,'-,[1.06-1.12],"AC004039.1, KIF3A","Atopic dermatitis","atopic eczema",GCST003184,5:132713335
rs6010620-<b>G</b>,"2 x 10-9","(EA, fixed effects)",NR,1.09,'-,[1.06-1.13],"RTEL1-TNFRSF6B, RTEL1","Atopic dermatitis","atopic eczema",GCST003184,20:63678486
rs2228145-<b>C</b>,"5 x 10-10","(EA, fixed effects)",NR,1.08,'-,[1.05-1.11],IL6R,"Atopic dermatitis","atopic eczema",GCST003184,1:154454494
rs61813875-<b>G</b>,"6 x 10-29","(EA, fixed effects)",0.02,1.61,'-,[1.48–1.75],"CRCT1, LCE3E","Atopic dermatitis","atopic eczema",GCST003184,1:152564174
rs10791824-<b>G</b>,"2 x 10-19","(EA, fixed effects)",0.57,1.12,'-,[1.09–1.15],OVOL1,"Atopic dermatitis","atopic eczema",GCST003184,11:65791795
rs12188917-<b>C</b>,"4 x 10-17","(EA, fixed effects)",0.21,1.14,'-,[1.10–1.17],TH2LCRR,"Atopic dermatitis","atopic eczema",GCST003184,5:132655393
rs6419573-<b>T</b>,"2 x 10-13","(EA, fixed effects)",0.26,1.11,'-,[1.08–1.14],"IL18R1, SDR42E1P5","Atopic dermatitis","atopic eczema",GCST003184,2:102410643
rs2212434-<b>T</b>,"5 x 10-13","(EA, fixed effects)",0.45,1.09,'-,[1.07–1.12],"EMSY, AP001189.2","Atopic dermatitis","atopic eczema",GCST003184,11:76570549
rs4809219-<b>A</b>,"7 x 10-13","(EA, fixed effects)",0.73,1.1111112,'-,'-,"RTEL1-TNFRSF6B, RTEL1","Atopic dermatitis","atopic eczema",GCST003184,20:63671762
rs2918307-<b>G</b>,"5 x 10-12","(EA, fixed effects)",0.16,1.12,'-,[1.08–1.16],"AC243312.1, LINC01862","Atopic dermatitis","atopic eczema",GCST003184,19:8679458
rs4713555-<b>G</b>,"5 x 10-9","(EA, fixed effects)",0.73,1.098901,'-,'-,"HLA-DQA1, HLA-DRB1","Atopic dermatitis","atopic eczema",GCST003184,6:32607747
rs2944542-<b>G</b>,"1 x 10-6","(EA, fixed effects)",0.59,1.0638298,'-,'-,"AC024598.1, AC067752.1","Atopic dermatitis","atopic eczema",GCST003184,10:62610240
rs145809981-<b>C</b>,"2 x 10-6","(EA, fixed effects)",0.86,1.098901,'-,'-,MICB,"Atopic dermatitis","atopic eczema",GCST003184,6:31498440
rs2592555-<b>T</b>,"9 x 10-7","(EA, fixed effects)",0.73,1.0752687,'-,'-,PRR5L,"Atopic dermatitis","atopic eczema",GCST003184,11:36350207
rs2070902-<b>T</b>,"6 x 10-19",,0.2524,1.05,'-,[1.04-1.06],FCER1G,"Allergic rhinitis","allergic rhinitis",GCST006409,1:161217875
rs111371454-<b>G</b>,"1 x 10-14",,0.2064,1.05,'-,[1.03-1.06],RTF1,"Allergic rhinitis","allergic rhinitis",GCST006409,15:41468419
rs12509403-<b>C</b>,"1 x 10-15",,0.6785,1.0416667,'-,[1.03-1.05],NFKB1,"Allergic rhinitis","allergic rhinitis",GCST006409,4:102604193
rs9648346-<b>G</b>,"3 x 10-14",,0.2158,1.05,'-,[1.03-1.06],JAZF1,"Allergic rhinitis","allergic rhinitis",GCST006409,7:28120494
rs35350651-<b>C</b>,"6 x 10-14",,0.4945,1.04,'-,[1.03-1.05],ATXN2,"Allergic rhinitis","allergic rhinitis",GCST006409,12:111469628
rs2519093-<b>T</b>,"3 x 10-16",,0.1957,1.05,'-,[1.04-1.07],ABO,"Allergic rhinitis","allergic rhinitis",GCST006409,9:133266456
rs62257549-<b>G</b>,"2 x 10-13",,0.7989,1.0526316,'-,[1.03-1.06],DCAF1,"Allergic rhinitis","allergic rhinitis",GCST006409,3:51488660
rs11677002-<b>T</b>,"7 x 10-13",,0.5486,1.0309278,'-,[1.03-1.04],AC104695.2,"Allergic rhinitis","allergic rhinitis",GCST006409,2:28391534
rs35597970-<b>?</b>,"5 x 10-18",,NR,1.04,'-,[1.03-1.05],"MFSD13A, ACTR1A","Allergic rhinitis","allergic rhinitis",GCST006409,10:102469301
rs2815765-<b>C</b>,"9 x 10-15",,0.6344,1.0416667,'-,[1.03-1.05],AL513166.1,"Allergic rhinitis","allergic rhinitis",GCST006409,1:72286547
rs11671925-<b>G</b>,"6 x 10-13",,0.8255,1.0526316,'-,[1.04-1.06],"AC008738.6, SLC7A10","Allergic rhinitis","allergic rhinitis",GCST006409,19:33227147
rs2461475-<b>C</b>,"4 x 10-11",,0.4727,1.03,'-,[1.02-1.04],SPPL3,"Allergic rhinitis","allergic rhinitis",GCST006409,12:120852371
rs6738964-<b>T</b>,"2 x 10-10",,0.7618,1.0416667,'-,[1.03-1.05],DAW1,"Allergic rhinitis","allergic rhinitis",GCST006409,2:227874419
rs10519067-<b>?</b>,"6 x 10-13",,NR,1.0752687,'-,[1.05-1.09],RORA,"Allergic rhinitis","allergic rhinitis",GCST006409,15:60776148
rs138050288-<b>?</b>,"7 x 10-12",,NR,1.04,'-,[1.03-1.05],RERE,"Allergic rhinitis","allergic rhinitis",GCST006409,1:8400188
rs7328203-<b>G</b>,"1 x 10-10",,0.4606,1.03,'-,[1.02-1.04],LINC02341,"Allergic rhinitis","allergic rhinitis",GCST006409,13:42414410
rs11169225-<b>A</b>,"5 x 10-10",,0.1924,1.04,'-,[1.03-1.05],"AC025154.2, AQP2","Allergic rhinitis","allergic rhinitis",GCST006409,12:49951888
rs141023293-<b>A</b>,"7 x 10-7",,0.0265,1.09,'-,[1.06-1.13],SIK3,"Allergic rhinitis","allergic rhinitis",GCST006409,11:116902201
rs201428899-<b>?</b>,"5 x 10-6",,NR,1.0309278,'-,[1.02-1.04],MIER1,"Allergic rhinitis","allergic rhinitis",GCST006409,1:66975990
rs34004019-<b>A</b>,"1 x 10-30",,0.7331,1.1235955,'-,[1.11-1.15],"HLA-DQA1, HLA-DQB1","Allergic rhinitis","allergic rhinitis",GCST006409,6:32658626
rs950881-<b>G</b>,"2 x 10-30",,0.8525,1.1363636,'-,[1.11-1.15],"IL18R1, IL1RL1","Allergic rhinitis","allergic rhinitis",GCST006409,2:102316052
rs5743618-<b>C</b>,"4 x 10-27",,0.7283,1.1111112,'-,[1.09-1.12],TLR1,"Allergic rhinitis","allergic rhinitis",GCST006409,4:38797027
rs1438673-<b>C</b>,"3 x 10-26",,0.4962,1.08,'-,[1.07-1.10],"AC010468.2, WDR36","Allergic rhinitis","allergic rhinitis",GCST006409,5:111131801
rs7936323-<b>A</b>,"7 x 10-24",,0.4806,1.08,'-,[1.06-1.09],"AP001189.2, EMSY","Allergic rhinitis","allergic rhinitis",GCST006409,11:76582714
rs2428494-<b>A</b>,"7 x 10-19",,0.4226,1.08,'-,[1.06-1.09],HLA-B,"Allergic rhinitis","allergic rhinitis",GCST006409,6:31354420
rs11644510-<b>C</b>,"2 x 10-17",,0.6291,1.0752687,'-,[1.05-1.09],"AC007220.1, CLEC16A","Allergic rhinitis","allergic rhinitis",GCST006409,16:11183501
rs12939457-<b>T</b>,"2 x 10-17",,0.5594,1.0638298,'-,[1.05-1.09],ZPBP2,"Allergic rhinitis","allergic rhinitis",GCST006409,17:39875935
rs148505069-<b>G</b>,"3 x 10-15",,0.333,1.07,'-,[1.05-1.08],"IL2, IL21","Allergic rhinitis","allergic rhinitis",GCST006409,4:122496409
rs13395467-<b>A</b>,"1 x 10-14",,0.7176,1.0638298,'-,[1.05-1.09],LINC00299,"Allergic rhinitis","allergic rhinitis",GCST006409,2:8311368
rs9775039-<b>A</b>,"2 x 10-14",,0.1642,1.08,'-,[1.06-1.10],"AL162384.1, GTF3AP1","Allergic rhinitis","allergic rhinitis",GCST006409,9:6177453
rs2164068-<b>T</b>,"4 x 10-14",,0.5087,1.0638298,'-,[1.04-1.08],PLCL1,"Allergic rhinitis","allergic rhinitis",GCST006409,2:198079128
rs2030519-<b>G</b>,"2 x 10-13",,0.4869,1.06,'-,[1.04-1.07],LPP,"Allergic rhinitis","allergic rhinitis",GCST006409,3:188402113
rs11256017-<b>T</b>,"3 x 10-12",,0.1823,1.07,'-,[1.05-1.09],"LINC00709, AC044784.1","Allergic rhinitis","allergic rhinitis",GCST006409,10:9001956
rs17294280-<b>G</b>,"6 x 10-12",,0.2484,1.07,'-,[1.05-1.09],SMAD3,"Allergic rhinitis","allergic rhinitis",GCST006409,15:67175947
rs7824993-<b>A</b>,"2 x 10-10",,0.3718,1.05,'-,[1.04-1.07],AC034114.2,"Allergic rhinitis","allergic rhinitis",GCST006409,8:80350661
rs9282864-<b>A</b>,"5 x 10-10",,0.6723,1.0638298,'-,[1.04-1.08],SULT1A1,"Allergic rhinitis","allergic rhinitis",GCST006409,16:28605987
rs9687749-<b>T</b>,"2 x 10-9",,0.4405,1.06,'-,[1.04-1.09],"RAD50, AC116366.3","Allergic rhinitis","allergic rhinitis",GCST006409,5:132619885
rs61977073-<b>G</b>,"6 x 10-9",,0.2228,1.06,'-,[1.04-1.08],TTC6,"Allergic rhinitis","allergic rhinitis",GCST006409,14:37682050
rs6470578-<b>T</b>,"4 x 10-8",,0.2818,1.05,'-,[1.03-1.07],PVT1,"Allergic rhinitis","allergic rhinitis",GCST006409,8:127797311
rs3787184-<b>A</b>,"5 x 10-8",,0.8124,1.0638298,'-,[1.04-1.08],NFATC2,"Allergic rhinitis","allergic rhinitis",GCST006409,20:51541298
rs7717955-<b>C</b>,"4 x 10-32",,0.7333,1.0638298,'-,[1.05-1.08],IL7R,"Allergic rhinitis","allergic rhinitis",GCST006409,5:35862739
rs63406760-<b>?</b>,"3 x 10-24",,NR,1.0638298,'-,[1.05-1.08],CDK2AP1,"Allergic rhinitis","allergic rhinitis",GCST006409,12:123258146
rs1504215-<b>G</b>,"2 x 10-18",,0.6575,1.0526316,'-,[1.04-1.06],"BACH2, AL132996.1","Allergic rhinitis","allergic rhinitis",GCST006409,6:90296508
rs28361986-<b>T</b>,"2 x 10-23",,0.8022,1.0638298,'-,[1.05-1.09],"SETP16, AP004609.4","Allergic rhinitis","allergic rhinitis",GCST006409,11:118822452
rs2367563-<b>A</b>,"4 x 10-6",,NR,5.92,'-,[NR],"NTN4, PGAM1P5","Allergic dermatitis (nickel)","contact dermatitis due to nickel",GCST002108,12:95663408
rs6733160-<b>C</b>,"7 x 10-6","(2-fold positive reaction cases)",NR,9.276,'-,[NR],PELI1,"Allergic dermatitis (nickel)","contact dermatitis due to nickel",GCST002108,2:64137498
rs4916831-<b>G</b>,"7 x 10-9",,0.56,1.4084507,'-,[1.27-1.59],ADGRV1,Atopy,atopy,GCST006040,5:90916459
rs6056732-<b>C</b>,"3 x 10-6",,0.09,1.6393442,'-,[1.33-2.00],PAK5,Atopy,atopy,GCST006040,20:9595973
rs1393350-<b>A</b>,"2 x 10-6",,0.27,1.26,'-,[1.11-1.43],TYR,"Skin sensitivity to sun","skin sensitivity to sun",GCST000116,11:89277878
rs1805007-<b>T</b>,"2 x 10-55",,0.06,2.94,'-,[2.42-3.58],"MC1R, AC092143.1","Skin sensitivity to sun","skin sensitivity to sun",GCST000116,16:89919709
rs9273373-<b>G</b>,"4 x 10-14",,0.54,1.24,'-,[1.17-1.30],"HLA-DQB1, HLA-DQA1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,6:32658824
rs4833095-<b>T</b>,"5 x 10-12",,0.74,1.2,'-,[1.14-1.26],TLR1,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,4:38798089
rs1438673-<b>C</b>,"3 x 10-11",,0.49,1.16,'-,[1.11-1.21],"AC010468.2, WDR36","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,5:111131801
rs10197862-<b>A</b>,"4 x 10-11",,0.85,1.24,'-,[1.16-1.32],"IL18R1, IL1RL1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,2:102350089
rs7212938-<b>G</b>,"4 x 10-10",,0.46,1.16,'-,[1.11-1.20],GSDMA,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,17:39966427
rs1837253-<b>C</b>,"1 x 10-9",,0.71,1.17,'-,[1.12-1.24],"TSLP, AC010395.1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,5:111066174
rs72699186-<b>T</b>,"2 x 10-9",,0.15,1.26,'-,[1.16-1.35],"AL162384.1, GTF3AP1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,9:6175855
rs17294280-<b>G</b>,"4 x 10-9",,0.23,1.18,'-,[1.11-1.25],SMAD3,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,15:67175947
rs7009110-<b>T</b>,"4 x 10-9",,0.36,1.14,'-,[1.09-1.19],AC034114.2,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,8:80379644
rs62026376-<b>C</b>,"1 x 10-8",,0.72,1.17,'-,[1.11-1.24],CLEC16A,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,16:11134855
rs3853750-<b>C</b>,"2 x 10-7",,'-,1.1533,'-,[1.1-1.21],"SLC25A46, AC008782.1","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,5:110818610
rs11049300-<b>G</b>,"3 x 10-7",,'-,1.4144,'-,[1.28-1.55],"CCDC91, PTHLH","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,12:28042192
rs12450323-<b>T</b>,"4 x 10-7",,'-,1.16,'-,[1.1-1.22],IKZF3,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,17:39816455
rs6982751-<b>G</b>,"4 x 10-7",,'-,1.1878,'-,[1.12-1.25],XKR6,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,8:10955964
rs41295115-<b>C</b>,"5 x 10-7",,'-,1.2769,'-,[1.18-1.37],"RBM17, RPL32P23","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,10:6082658
rs72766477-<b>A</b>,"5 x 10-7",,'-,1.3402,'-,[1.23-1.45],"PPIAP79, EDIL3-DT","Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,5:84611411
rs76043829-<b>A</b>,"6 x 10-7",,'-,1.2133,'-,[1.14-1.29],TNS1,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,2:217812863
rs7521681-<b>A</b>,"7 x 10-7",,'-,1.1491,'-,[1.09-1.2],VAV3,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,1:107779913
rs6517368-<b>C</b>,"2 x 10-6",,'-,1.1201,'-,[1.07-1.17],AP000696.1,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,21:36635645
rs17605016-<b>G</b>,"2 x 10-6",,'-,1.1878,'-,[1.12-1.26],TAFA2,"Asthma and hay fever","seasonal allergic rhinitis, asthma",GCST002322,12:61856639
